X,Y,ID
0,32,LV0
1,32,LV0
2,32,LV0
3,32,LV0
4,32,LV0
5,32,LV0
6,33,LV0
7,33,LV0
8,33,LV0
9,33,LV0
10,33,LV0
11,33,LV0
12,33,LV0
13,33,LV0
14,33,LV0
15,33,LV0
16,33,LV0
17,33,LV0
18,34,LV0
19,34,LV0
20,34,LV0
21,34,LV0
22,34,LV0
23,34,LV0
24,34,LV0
25,34,LV0
26,34,LV0
27,34,LV0
28,34,LV0
29,34,LV0
30,34,LV0
31,34,LV0
32,34,LV0
33,34,LV0
34,34,LV0
35,34,LV0
36,34,LV0
37,34,LV0
38,34,LV0
39,34,LV0
40,34,LV0
41,34,LV0
42,34,LV0
43,34,LV0
44,34,LV0
45,34,LV0
46,34,LV0
47,34,LV0
48,34,LV0
49,34,LV0
50,34,LV0
51,33,LV0
52,33,LV0
53,33,LV0
54,33,LV0
55,33,LV0
56,33,LV0
57,33,LV0
58,33,LV0
59,33,LV0
60,33,LV0
61,33,LV0
62,33,LV0
63,33,LV0
64,32,LV0
65,32,LV0
66,32,LV0
67,32,LV0
68,32,LV0
69,32,LV0
70,32,LV0
71,32,LV0
72,32,LV0
73,32,LV0
74,32,LV0
75,32,LV0
76,32,LV0
77,31,LV0
78,31,LV0
79,31,LV0
80,31,LV0
81,31,LV0
82,31,LV0
83,31,LV0
84,31,LV0
85,31,LV0
86,31,LV0
87,31,LV0
88,31,LV0
89,30,LV0
90,30,LV0
91,30,LV0
92,30,LV0
93,30,LV0
94,30,LV0
95,30,LV0
96,30,LV0
97,30,LV0
98,30,LV0
99,30,LV0
100,30,LV0
101,30,LV0
102,30,LV0
103,30,LV0
104,30,LV0
105,30,LV0
106,30,LV0
107,30,LV0
108,30,LV0
109,30,LV0
110,30,LV0
111,30,LV0
112,30,LV0
113,30,LV0
114,30,LV0
115,30,LV0
116,30,LV0
117,30,LV0
118,30,LV0
119,30,LV0
120,30,LV0
121,31,LV0
122,31,LV0
123,31,LV0
124,31,LV0
125,31,LV0
126,31,LV0
127,31,LV0
128,31,LV0
129,31,LV0
130,31,LV0
131,31,LV0
132,31,LV0
133,31,LV0
134,32,LV0
135,32,LV0
136,32,LV0
137,32,LV0
138,32,LV0
0,40,LV1
1,40,LV1
2,40,LV1
3,40,LV1
4,40,LV1
5,40,LV1
6,40,LV1
7,40,LV1
8,40,LV1
9,40,LV1
10,40,LV1
11,40,LV1
12,40,LV1
13,40,LV1
14,40,LV1
15,40,LV1
16,40,LV1
17,40,LV1
18,40,LV1
19,40,LV1
20,40,LV1
21,40,LV1
22,40,LV1
23,40,LV1
24,40,LV1
25,40,LV1
26,40,LV1
27,40,LV1
28,40,LV1
29,40,LV1
30,40,LV1
31,40,LV1
32,40,LV1
33,40,LV1
34,40,LV1
35,40,LV1
36,40,LV1
37,40,LV1
38,40,LV1
39,40,LV1
40,40,LV1
41,40,LV1
42,40,LV1
43,40,LV1
44,40,LV1
45,40,LV1
46,40,LV1
47,40,LV1
48,40,LV1
49,40,LV1
50,40,LV1
51,40,LV1
52,40,LV1
53,40,LV1
54,40,LV1
55,40,LV1
56,40,LV1
57,40,LV1
58,40,LV1
59,40,LV1
60,40,LV1
61,40,LV1
62,40,LV1
63,40,LV1
64,40,LV1
65,40,LV1
66,40,LV1
67,40,LV1
68,40,LV1
69,40,LV1
70,40,LV1
71,40,LV1
72,40,LV1
73,40,LV1
74,40,LV1
75,40,LV1
76,40,LV1
77,40,LV1
78,40,LV1
79,40,LV1
80,40,LV1
81,40,LV1
82,40,LV1
83,40,LV1
84,40,LV1
85,40,LV1
86,40,LV1
87,40,LV1
88,40,LV1
89,40,LV1
90,40,LV1
91,40,LV1
92,40,LV1
93,40,LV1
94,40,LV1
95,40,LV1
96,40,LV1
97,40,LV1
98,40,LV1
99,40,LV1
100,40,LV1
101,40,LV1
102,40,LV1
103,40,LV1
104,40,LV1
105,40,LV1
106,40,LV1
107,40,LV1
108,40,LV1
109,40,LV1
110,40,LV1
111,40,LV1
112,40,LV1
113,40,LV1
114,40,LV1
115,40,LV1
116,40,LV1
117,40,LV1
118,40,LV1
119,40,LV1
120,40,LV1
121,40,LV1
122,40,LV1
123,40,LV1
124,40,LV1
125,40,LV1
126,40,LV1
127,40,LV1
128,40,LV1
129,40,LV1
130,40,LV1
131,40,LV1
132,40,LV1
133,40,LV1
134,40,LV1
135,40,LV1
136,40,LV1
137,40,LV1
138,40,LV1
0,63,LV2
1,63,LV2
2,63,LV2
3,63,LV2
4,63,LV2
5,63,LV2
6,63,LV2
7,63,LV2
8,63,LV2
9,63,LV2
10,63,LV2
11,63,LV2
12,63,LV2
13,63,LV2
14,63,LV2
15,63,LV2
16,63,LV2
17,63,LV2
18,63,LV2
19,63,LV2
20,63,LV2
21,63,LV2
22,63,LV2
23,63,LV2
24,63,LV2
25,63,LV2
26,63,LV2
27,63,LV2
28,63,LV2
29,63,LV2
30,63,LV2
31,63,LV2
32,63,LV2
33,63,LV2
34,63,LV2
35,63,LV2
36,63,LV2
37,63,LV2
38,63,LV2
39,63,LV2
40,63,LV2
41,63,LV2
42,63,LV2
43,63,LV2
44,63,LV2
45,63,LV2
46,63,LV2
47,63,LV2
48,63,LV2
49,63,LV2
50,63,LV2
51,63,LV2
52,63,LV2
53,63,LV2
54,63,LV2
55,63,LV2
56,63,LV2
57,63,LV2
58,63,LV2
59,63,LV2
60,63,LV2
61,63,LV2
62,63,LV2
63,63,LV2
64,63,LV2
65,63,LV2
66,63,LV2
67,63,LV2
68,63,LV2
69,63,LV2
70,63,LV2
71,63,LV2
72,63,LV2
73,63,LV2
74,63,LV2
75,63,LV2
76,63,LV2
77,63,LV2
78,63,LV2
79,63,LV2
80,63,LV2
81,63,LV2
82,63,LV2
83,63,LV2
84,63,LV2
85,63,LV2
86,63,LV2
87,63,LV2
88,63,LV2
89,63,LV2
90,63,LV2
91,63,LV2
92,63,LV2
93,63,LV2
94,63,LV2
95,63,LV2
96,63,LV2
97,63,LV2
98,63,LV2
99,63,LV2
100,63,LV2
101,63,LV2
102,63,LV2
103,63,LV2
104,63,LV2
105,63,LV2
106,63,LV2
107,63,LV2
108,63,LV2
109,63,LV2
110,63,LV2
111,63,LV2
112,63,LV2
113,63,LV2
114,63,LV2
115,63,LV2
116,63,LV2
117,63,LV2
118,63,LV2
119,63,LV2
120,63,LV2
121,63,LV2
122,63,LV2
123,63,LV2
124,63,LV2
125,63,LV2
126,63,LV2
127,63,LV2
128,63,LV2
129,63,LV2
130,63,LV2
131,63,LV2
132,63,LV2
133,63,LV2
134,63,LV2
135,63,LV2
136,63,LV2
137,63,LV2
138,63,LV2
-2,15,LB0
-2,14,LB0
-2,13,LB0
-2,12,LB0
-1,15,LB0
-1,10,LB0
-1,9,LB0
-1,8,LB0
-1,7,LB0
-1,6,LB0
0,15,LB0
0,4,LB0
0,3,LB0
1,15,LB0
2,16,LB0
3,16,LB0
