X,Y,Z,Label
39.8,-5.721,499.905,CL
40.0,-5.617,499.911,CL
40.2,-5.51,499.898,CL
40.4,-5.402,499.886,CL
40.6,-5.291,499.873,CL
40.8,-5.177,499.861,CL
41.0,-5.062,499.849,CL
41.2,-4.944,499.835,CL
41.4,-4.824,499.819,CL
41.6,-4.703,499.804,CL
41.8,-4.579,499.789,CL
42.0,-4.453,499.774,CL
42.2,-4.325,499.76,CL
42.4,-4.195,499.757,CL
42.6,-4.064,499.744,CL
42.8,-3.93,499.731,CL
43.0,-3.794,499.717,CL
43.2,-3.657,499.703,CL
43.4,-3.518,499.686,CL
43.6,-3.377,499.669,CL
43.8,-3.235,499.652,CL
44.0,-3.091,499.636,CL
44.2,-2.945,499.629,CL
44.4,-2.797,499.614,CL
44.6,-2.648,499.599,CL
44.8,-2.498,499.584,CL
45.0,-2.346,499.566,CL
45.2,-2.193,499.548,CL
45.4,-2.038,499.529,CL
45.6,-1.882,499.512,CL
45.8,-1.725,499.501,CL
46.0,-1.566,499.485,CL
46.2,-1.407,499.468,CL
46.4,-1.246,499.451,CL
46.6,-1.084,499.432,CL
46.8,-0.922,499.414,CL
47.0,-0.759,499.397,CL
47.2,-0.595,499.379,CL
47.4,-0.43,499.363,CL
47.6,-0.265,499.346,CL
47.8,-0.099,499.329,CL
48.0,0.067,499.313,CL
48.2,0.233,499.3,CL
48.4,0.4,499.29,CL
48.6,0.566,499.261,CL
48.8,0.732,499.247,CL
49.0,0.898,499.233,CL
49.2,1.064,499.219,CL
49.4,1.229,499.211,CL
49.6,1.393,499.208,CL
49.8,1.557,499.209,CL
50.0,1.72,499.171,CL
50.2,1.882,499.163,CL
50.4,2.042,499.157,CL
50.6,2.201,499.151,CL
50.8,2.359,499.148,CL
51.0,2.516,499.158,CL
51.2,2.67,499.171,CL
51.4,2.823,499.186,CL
51.6,2.974,499.138,CL
51.8,3.123,499.141,CL
52.0,3.269,499.144,CL
52.2,3.414,499.149,CL
52.4,3.556,499.154,CL
52.6,3.695,499.165,CL
52.8,3.832,499.187,CL
53.0,3.967,499.209,CL
53.2,4.098,499.231,CL
53.4,4.227,499.253,CL
53.6,4.353,499.272,CL
53.8,4.477,499.192,CL
54.0,4.597,499.193,CL
54.2,4.715,499.191,CL
54.4,4.829,499.185,CL
54.6,4.941,499.175,CL
54.8,5.05,499.16,CL
55.0,5.156,499.148,CL
55.2,5.259,499.138,CL
55.4,5.36,499.123,CL
55.6,5.457,499.104,CL
55.8,5.552,499.082,CL
56.0,5.645,499.058,CL
56.2,5.735,499.032,CL
56.4,5.822,499.003,CL
56.6,5.907,498.974,CL
56.8,5.99,498.866,CL
57.0,6.07,498.834,CL
57.2,6.149,498.804,CL
57.4,6.225,498.777,CL
57.6,6.299,498.752,CL
57.8,6.372,498.731,CL
58.0,6.443,498.712,CL
58.2,6.512,498.697,CL
58.4,6.58,498.686,CL
58.6,6.646,498.677,CL
58.8,6.711,498.671,CL
59.0,6.775,498.666,CL
59.2,6.838,498.662,CL
59.4,6.899,498.658,CL
59.6,6.959,498.655,CL
59.8,7.019,498.652,CL
60.0,7.077,498.648,CL
60.2,7.135,498.644,CL
60.4,7.191,498.639,CL
60.6,7.247,498.634,CL
60.8,7.302,498.627,CL
61.0,7.356,498.62,CL
61.2,7.41,498.613,CL
61.4,7.462,498.651,CL
61.6,7.514,498.646,CL
61.8,7.565,498.639,CL
62.0,7.615,498.632,CL
62.2,7.665,498.624,CL
62.4,7.713,498.616,CL
62.6,7.761,498.608,CL
62.8,7.808,498.599,CL
63.0,7.854,498.591,CL
63.2,7.899,498.582,CL
63.4,7.943,498.575,CL
63.6,7.986,498.567,CL
63.8,8.028,498.56,CL
64.0,8.069,498.554,CL
64.2,8.109,498.548,CL
64.4,8.147,498.542,CL
64.6,8.185,498.537,CL
64.8,8.222,498.533,CL
65.0,8.257,498.527,CL
65.2,8.291,498.523,CL
65.4,8.324,498.518,CL
65.6,8.356,498.515,CL
65.8,8.387,498.512,CL
66.0,8.417,498.51,CL
66.2,8.445,498.508,CL
66.4,8.473,498.507,CL
66.6,8.499,498.506,CL
66.8,8.524,498.506,CL
67.0,8.549,498.507,CL
67.2,8.572,498.509,CL
67.4,8.594,498.511,CL
67.6,8.616,498.514,CL
67.8,8.636,498.518,CL
68.0,8.656,498.522,CL
68.2,8.674,498.526,CL
68.4,8.692,498.53,CL
68.6,8.71,498.535,CL
68.8,8.726,498.539,CL
69.0,8.742,498.543,CL
69.2,8.757,498.546,CL
69.4,8.771,498.549,CL
69.6,8.785,498.55,CL
69.8,8.798,498.551,CL
70.0,8.811,498.551,CL
70.2,8.823,498.55,CL
70.4,8.834,498.547,CL
70.6,8.845,498.544,CL
70.8,8.855,498.54,CL
71.0,8.865,498.643,CL
71.2,8.875,498.639,CL
71.4,8.883,498.633,CL
71.6,8.891,498.626,CL
71.8,8.899,498.619,CL
72.0,8.906,498.611,CL
72.2,8.912,498.603,CL
72.4,8.918,498.595,CL
72.6,8.923,498.587,CL
72.8,8.928,498.58,CL
73.0,8.931,498.573,CL
73.2,8.935,498.566,CL
73.4,8.937,498.561,CL
73.6,8.939,498.556,CL
73.8,8.94,498.553,CL
74.0,8.94,498.657,CL
74.2,8.94,498.656,CL
74.4,8.939,498.656,CL
74.6,8.937,498.658,CL
74.8,8.935,498.662,CL
75.0,8.931,498.668,CL
75.2,8.928,498.675,CL
75.4,8.923,498.685,CL
75.6,8.918,498.696,CL
75.8,8.912,498.709,CL
76.0,8.905,498.723,CL
76.2,8.898,498.739,CL
76.4,8.891,498.756,CL
76.6,8.883,498.774,CL
76.8,8.874,498.793,CL
77.0,8.865,498.812,CL
77.2,8.855,498.831,CL
77.4,8.845,498.849,CL
77.6,8.835,498.867,CL
77.8,8.824,498.883,CL
78.0,8.813,498.897,CL
78.2,8.802,498.909,CL
78.4,8.791,498.918,CL
78.6,8.779,498.925,CL
78.8,8.767,498.927,CL
79.0,8.755,498.926,CL
79.2,8.742,498.737,CL
79.4,8.73,498.727,CL
79.6,8.717,498.713,CL
79.8,8.704,498.696,CL
80.0,8.69,498.675,CL
80.2,8.677,498.651,CL
80.4,8.663,498.624,CL
80.6,8.649,498.595,CL
80.8,8.634,498.564,CL
81.0,8.619,498.533,CL
81.2,8.604,498.5,CL
81.4,8.588,498.469,CL
81.6,8.571,498.438,CL
81.8,8.554,498.408,CL
82.0,8.536,498.381,CL
82.2,8.517,498.357,CL
82.4,8.497,498.336,CL
82.6,8.476,498.318,CL
82.8,8.454,498.305,CL
83.0,8.431,498.295,CL
83.2,8.407,498.29,CL
83.4,8.381,498.288,CL
83.6,8.354,498.291,CL
83.8,8.325,498.297,CL
84.0,8.295,498.306,CL
84.2,8.263,498.318,CL
84.4,8.229,498.333,CL
84.6,8.193,498.349,CL
84.8,8.155,498.366,CL
85.0,8.116,498.379,CL
85.2,8.074,498.389,CL
85.4,8.03,498.399,CL
85.6,7.984,498.405,CL
85.8,7.935,498.409,CL
86.0,7.884,498.41,CL
86.2,7.831,498.403,CL
86.4,7.776,498.395,CL
86.6,7.718,498.387,CL
86.8,7.658,498.379,CL
87.0,7.595,498.451,CL
87.2,7.53,498.442,CL
87.4,7.462,498.431,CL
87.6,7.392,498.418,CL
87.8,7.319,498.403,CL
88.0,7.245,498.387,CL
88.2,7.167,498.371,CL
88.4,7.088,498.355,CL
88.6,7.006,498.328,CL
88.8,6.921,498.301,CL
89.0,6.835,498.276,CL
89.2,6.746,498.252,CL
89.4,6.655,498.23,CL
89.6,6.562,498.21,CL
89.8,6.467,498.244,CL
90.0,6.37,498.232,CL
90.2,6.272,498.22,CL
90.4,6.171,498.209,CL
90.6,6.068,498.198,CL
90.8,5.964,498.185,CL
91.0,5.858,498.169,CL
91.2,5.75,498.155,CL
91.4,5.641,498.145,CL
91.6,5.53,498.136,CL
91.8,5.418,498.143,CL
92.0,5.304,498.137,CL
92.2,5.189,498.131,CL
92.4,5.073,498.125,CL
92.6,4.956,498.12,CL
92.8,4.837,498.112,CL
93.0,4.718,498.106,CL
93.2,4.598,498.102,CL
93.4,4.476,498.1,CL
93.6,4.354,498.09,CL
93.8,4.231,498.086,CL
94.0,4.107,498.082,CL
94.2,3.983,498.078,CL
94.4,3.858,498.074,CL
94.6,3.732,498.071,CL
94.8,3.606,498.069,CL
95.0,3.48,498.069,CL
95.2,3.353,498.071,CL
95.4,3.225,498.048,CL
95.6,3.098,498.045,CL
95.8,2.97,498.042,CL
96.0,2.842,498.038,CL
96.2,2.714,498.034,CL
96.4,2.585,498.033,CL
96.6,2.457,498.033,CL
96.8,2.329,498.035,CL
97.0,2.201,498.037,CL
97.2,2.072,498.008,CL
97.4,1.944,498.005,CL
97.6,1.816,498.002,CL
97.8,1.689,497.998,CL
98.0,1.561,497.994,CL
98.2,1.434,497.993,CL
98.4,1.308,497.994,CL
98.6,1.181,497.996,CL
98.8,1.055,497.999,CL
99.0,0.93,497.971,CL
99.2,0.805,497.968,CL
99.4,0.681,497.966,CL
99.6,0.557,497.963,CL
99.8,0.434,497.96,CL
100.0,0.312,497.958,CL
100.2,0.19,497.961,CL
100.4,0.069,497.965,CL
100.6,-0.051,497.971,CL
100.8,-0.17,497.978,CL
101.0,-0.288,497.987,CL
101.2,-0.405,497.946,CL
101.4,-0.521,497.948,CL
101.6,-0.636,497.95,CL
101.8,-0.749,497.952,CL
102.0,-0.862,497.956,CL
102.2,-0.973,497.96,CL
102.4,-1.083,497.966,CL
102.6,-1.191,497.981,CL
102.8,-1.298,497.998,CL
