X,S,C
0.0,-0.011552671950941118,-0.013060506824298532
0.2,-0.024617636045043412,-0.004517560127058555
0.4,-0.029138467463507567,-0.004834756714945118
0.6000000000000001,-0.03397804862592224,-0.0051021357852936945
0.8,-0.039087004890344446,-0.005318802717514273
1.0,-0.0444150915741055,-0.0054844420167995305
1.2000000000000002,-0.04991174680449362,-0.005599315399621473
1.4000000000000001,-0.055526639003570466,-0.005664250528208383
1.6,-0.06121020195170246,-0.005680620483202871
1.8,-0.06691415063772865,-0.005650314393619773
2.0,-0.07259197146225915,-0.005575699956416498
2.2,-0.07819938080897515,-0.005459578845467221
2.4000000000000004,-0.08369474652864284,-0.005305136217467069
2.6,-0.08903946748245772,-0.005115885656674124
2.8000000000000003,-0.09419830695644649,-0.0048956109603386895
3.0,-0.099139676474568,-0.004648306151117544
3.2,-0.10383586729438221,-0.0043781150263657136
3.4000000000000004,-0.10826322765322871,-0.0040892714238176505
3.6,-0.11240228463182333,-0.0037860412213121977
3.8000000000000003,-0.11623781030510827,-0.0034726669082587344
4.0,-0.11975883264237908,-0.003153315383777691
4.2,-0.12295859239099372,-0.0028320294683867766
4.4,-0.12583444791586373,-0.0025126834660724874
4.6000000000000005,-0.12838773066226494,-0.002198942995040639
4.800000000000001,-0.13062355455026164,-0.0018942292154081396
5.0,-0.13255058318764057,-0.0016016875199074108
5.2,-0.13418075929598672,-0.0013241607199693175
5.4,-0.1355290011755308,-0.0010641667445773068
5.6000000000000005,-0.13661287138285516,-0.0008238808624792135
5.800000000000001,-0.13745222305808724,-0.000605122444972718
6.0,-0.13806882951217503,-0.0004093462873081855
6.2,-0.13848600276970302,-0.00023763849334994432
6.4,-0.13872820675861064,-9.071693051668205e-05
6.6000000000000005,-0.1388206707473394,3.1063799957570506e-05
6.800000000000001,-0.13878900845629616,0.0001277028837064453
7.0,-0.13865884801690598,0.00019953960989699534
7.2,-0.13845547762699795,0.00024723540556167013
7.4,-0.13820351135878184,0.0002717521033036577
7.6000000000000005,-0.13792657912698303,0.00027432665190920417
7.800000000000001,-0.13764704432551156,0.0002564426957197189
8.0,-0.13738575210226145,0.00021979950627571697
8.200000000000001,-0.13716181067267996,0.0001662787869837823
8.4,-0.13699240748349695,9.790991295046269e-05
8.6,-0.13689266143853018,1.6834203938606564e-05
8.8,-0.13687551179948798,-7.473112400172317e-05
9.0,-0.13695164378508906,-0.00017452886518943715
9.200000000000001,-0.13712945032239077,-0.0002802967205924747
9.4,-0.1374150288622431,-0.0003898009406805982
9.600000000000001,-0.13781221166606983,-0.0005008679816422061
9.8,-0.13832262751008173,-0.0006114137808254589
10.0,-0.13894579234239046,-0.0007194702410197035
10.200000000000001,-0.1396792260737989,-0.0008232085754846901
10.4,-0.14051859238833586,-0.0009209592449284157
10.600000000000001,-0.1414578582285344,-0.0010112282886492272
10.8,-0.14248946944429974,-0.0010927099289808249
11.0,-0.14360453899482195,-0.0011642954038244156
