X,Y,Z,Label
42.4,0.0,499.395,CL
42.6,0.0,499.382,CL
42.8,0.0,499.369,CL
43.0,0.0,499.355,CL
43.2,0.0,499.342,CL
43.4,0.0,499.328,CL
43.6,0.0,499.262,CL
43.8,0.0,499.247,CL
44.0,0.0,499.233,CL
44.2,0.0,499.218,CL
44.4,0.0,499.203,CL
44.6,0.0,499.189,CL
44.8,0.0,499.174,CL
45.0,0.0,499.159,CL
45.2,0.0,499.144,CL
45.4,0.0,499.129,CL
45.6,0.0,499.075,CL
45.8,0.0,499.059,CL
46.0,0.0,499.044,CL
46.2,0.0,499.028,CL
46.4,0.0,499.012,CL
46.6,0.0,498.996,CL
46.8,0.0,498.98,CL
47.0,0.0,498.964,CL
47.2,0.0,498.948,CL
47.4,0.0,498.911,CL
47.6,0.0,498.895,CL
47.8,0.0,498.879,CL
48.0,0.0,498.863,CL
48.2,0.0,498.846,CL
48.4,0.0,498.83,CL
48.6,0.0,498.814,CL
48.8,0.0,498.798,CL
49.0,0.0,498.782,CL
49.2,0.0,498.765,CL
49.4,0.0,498.749,CL
49.6,0.0,498.733,CL
49.8,0.0,498.717,CL
50.0,0.0,498.701,CL
50.2,0.0,498.685,CL
50.4,0.0,498.67,CL
50.6,0.0,498.654,CL
50.8,0.0,498.662,CL
51.0,0.0,498.647,CL
51.2,0.0,498.632,CL
51.4,0.0,498.616,CL
51.6,0.0,498.601,CL
51.8,0.0,498.586,CL
52.0,0.0,498.572,CL
52.2,0.0,498.557,CL
52.4,0.0,498.543,CL
52.6,0.0,498.528,CL
52.8,0.0,498.565,CL
53.0,0.0,498.552,CL
53.2,0.0,498.538,CL
53.4,0.0,498.525,CL
53.6,0.0,498.511,CL
53.8,0.0,498.498,CL
54.0,0.0,498.485,CL
54.2,0.0,498.473,CL
54.4,0.0,498.46,CL
54.6,0.0,498.448,CL
54.8,0.0,498.436,CL
55.0,0.0,498.424,CL
55.2,0.0,498.494,CL
55.4,0.0,498.483,CL
55.6,0.0,498.471,CL
55.8,0.0,498.46,CL
56.0,0.0,498.45,CL
56.2,0.0,498.439,CL
56.4,0.0,498.428,CL
56.6,0.0,498.418,CL
56.8,0.0,498.408,CL
57.0,0.0,498.398,CL
57.2,0.0,498.388,CL
57.4,0.0,498.378,CL
57.6,0.0,498.368,CL
57.8,0.0,498.359,CL
58.0,0.0,498.349,CL
58.2,0.0,498.34,CL
58.4,0.0,498.447,CL
58.6,0.0,498.438,CL
58.8,0.0,498.43,CL
59.0,0.0,498.421,CL
59.2,0.0,498.413,CL
59.4,0.0,498.404,CL
59.6,0.0,498.396,CL
59.8,0.0,498.388,CL
60.0,0.0,498.38,CL
60.2,0.0,498.372,CL
60.4,0.0,498.364,CL
60.6,0.0,498.356,CL
60.8,0.0,498.348,CL
61.0,0.0,498.341,CL
61.2,0.0,498.333,CL
61.4,0.0,498.325,CL
61.6,0.0,498.318,CL
61.8,0.0,498.31,CL
62.0,0.0,498.303,CL
62.2,0.0,498.296,CL
62.4,0.0,498.289,CL
62.6,0.0,498.281,CL
62.8,0.0,498.274,CL
63.0,0.0,498.267,CL
63.2,0.0,498.412,CL
63.4,0.0,498.406,CL
63.6,0.0,498.399,CL
63.8,0.0,498.392,CL
64.0,0.0,498.386,CL
64.2,0.0,498.38,CL
64.4,0.0,498.373,CL
64.6,0.0,498.367,CL
64.8,0.0,498.361,CL
65.0,0.0,498.355,CL
65.2,0.0,498.348,CL
65.4,0.0,498.342,CL
65.6,0.0,498.337,CL
65.8,0.0,498.331,CL
66.0,0.0,498.325,CL
66.2,0.0,498.319,CL
66.4,0.0,498.313,CL
66.6,0.0,498.308,CL
66.8,0.0,498.302,CL
67.0,0.0,498.297,CL
67.2,0.0,498.291,CL
67.4,0.0,498.286,CL
67.6,0.0,498.281,CL
67.8,0.0,498.275,CL
68.0,0.0,498.27,CL
68.2,0.0,498.265,CL
68.4,0.0,498.26,CL
68.6,0.0,498.255,CL
68.8,0.0,498.25,CL
69.0,0.0,498.245,CL
69.2,0.0,498.24,CL
69.4,0.0,498.235,CL
69.6,0.0,498.23,CL
69.8,0.0,498.225,CL
70.0,0.0,498.22,CL
70.2,0.0,498.215,CL
70.4,0.0,498.211,CL
70.6,0.0,498.206,CL
70.8,0.0,498.201,CL
71.0,0.0,498.197,CL
71.2,0.0,498.192,CL
71.4,0.0,498.187,CL
71.6,0.0,498.183,CL
71.8,0.0,498.178,CL
72.0,0.0,498.174,CL
72.2,0.0,498.169,CL
72.4,0.0,498.35,CL
72.6,0.0,498.345,CL
72.8,0.0,498.341,CL
73.0,0.0,498.336,CL
73.2,0.0,498.332,CL
73.4,0.0,498.327,CL
73.6,0.0,498.323,CL
73.8,0.0,498.319,CL
74.0,0.0,498.314,CL
74.2,0.0,498.31,CL
74.4,0.0,498.305,CL
74.6,0.0,498.301,CL
74.8,0.0,498.297,CL
75.0,0.0,498.292,CL
75.2,0.0,498.288,CL
75.4,0.0,498.284,CL
75.6,0.0,498.279,CL
75.8,0.0,498.275,CL
76.0,0.0,498.271,CL
76.2,0.0,498.266,CL
76.4,0.0,498.262,CL
76.6,0.0,498.258,CL
76.8,0.0,498.253,CL
77.0,0.0,498.249,CL
77.2,0.0,498.245,CL
77.4,0.0,498.241,CL
77.6,0.0,498.236,CL
77.8,0.0,498.232,CL
78.0,0.0,498.228,CL
78.2,0.0,498.224,CL
78.4,0.0,498.22,CL
78.6,0.0,498.215,CL
78.8,0.0,498.211,CL
79.0,0.0,498.207,CL
79.2,0.0,498.203,CL
79.4,0.0,498.198,CL
79.6,0.0,498.194,CL
79.8,0.0,498.19,CL
80.0,0.0,498.186,CL
80.2,0.0,498.0,CL
80.4,0.0,497.995,CL
80.6,0.0,497.991,CL
80.8,0.0,497.987,CL
81.0,0.0,497.983,CL
81.2,0.0,497.978,CL
81.4,0.0,497.974,CL
81.6,0.0,497.97,CL
81.8,0.0,497.966,CL
82.0,0.0,497.961,CL
82.2,0.0,497.957,CL
82.4,0.0,497.952,CL
82.6,0.0,497.948,CL
82.8,0.0,497.944,CL
83.0,0.0,497.939,CL
83.2,0.0,497.935,CL
83.4,0.0,497.93,CL
83.6,0.0,497.925,CL
83.8,0.0,497.921,CL
84.0,0.0,497.916,CL
84.2,0.0,497.912,CL
84.4,0.0,497.907,CL
84.6,0.0,497.902,CL
84.8,0.0,497.897,CL
85.0,0.0,497.892,CL
85.2,0.0,497.888,CL
85.4,0.0,497.883,CL
85.6,0.0,497.878,CL
85.8,0.0,497.873,CL
86.0,0.0,497.868,CL
86.2,0.0,497.863,CL
86.4,0.0,497.858,CL
86.6,0.0,497.852,CL
86.8,0.0,497.847,CL
87.0,0.0,497.842,CL
87.2,0.0,497.837,CL
87.4,0.0,497.832,CL
87.6,0.0,497.826,CL
87.8,0.0,497.67,CL
88.0,0.0,497.665,CL
88.2,0.0,497.659,CL
88.4,0.0,497.654,CL
88.6,0.0,497.648,CL
88.8,0.0,497.643,CL
89.0,0.0,497.637,CL
89.2,0.0,497.632,CL
89.4,0.0,497.626,CL
89.6,0.0,497.62,CL
89.8,0.0,497.615,CL
90.0,0.0,497.609,CL
90.2,0.0,497.603,CL
90.4,0.0,497.597,CL
90.6,0.0,497.47,CL
90.8,0.0,497.464,CL
91.0,0.0,497.459,CL
91.2,0.0,497.453,CL
91.4,0.0,497.447,CL
91.6,0.0,497.441,CL
91.8,0.0,497.435,CL
92.0,0.0,497.429,CL
92.2,0.0,497.423,CL
92.4,0.0,497.417,CL
92.6,0.0,497.411,CL
92.8,0.0,497.313,CL
93.0,0.0,497.307,CL
93.2,0.0,497.3,CL
93.4,0.0,497.294,CL
93.6,0.0,497.288,CL
93.8,0.0,497.282,CL
94.0,0.0,497.276,CL
94.2,0.0,497.269,CL
94.4,0.0,497.263,CL
94.6,0.0,497.257,CL
94.8,0.0,497.25,CL
95.0,0.0,497.182,CL
95.2,0.0,497.176,CL
95.4,0.0,497.17,CL
95.6,0.0,497.163,CL
95.8,0.0,497.157,CL
96.0,0.0,497.15,CL
96.2,0.0,497.144,CL
96.4,0.0,497.138,CL
96.6,0.0,497.131,CL
96.8,0.0,497.125,CL
97.0,0.0,497.087,CL
97.2,0.0,497.081,CL
97.4,0.0,497.075,CL
97.6,0.0,497.068,CL
97.8,0.0,497.062,CL
98.0,0.0,497.055,CL
98.2,0.0,497.049,CL
98.4,0.0,497.043,CL
98.6,0.0,497.036,CL
98.8,0.0,497.03,CL
99.0,0.0,497.024,CL
99.2,0.0,497.018,CL
99.4,0.0,497.011,CL
99.6,0.0,497.005,CL
99.8,0.0,496.999,CL
100.0,0.0,496.993,CL
100.2,0.0,496.987,CL
100.4,0.0,496.981,CL
100.6,0.0,496.975,CL
100.8,0.0,496.969,CL
101.0,0.0,496.994,CL
101.2,0.0,496.988,CL
101.4,0.0,496.982,CL
101.6,0.0,496.977,CL
101.8,0.0,496.971,CL
102.0,0.0,496.965,CL
102.2,0.0,496.959,CL
102.4,0.0,496.954,CL
102.6,0.0,496.948,CL
102.8,0.0,496.943,CL
103.0,0.0,496.937,CL
103.2,0.0,496.932,CL
103.4,0.0,496.99,CL
103.6,0.0,496.984,CL
103.8,0.0,496.979,CL
104.0,0.0,496.974,CL
104.2,0.0,496.969,CL
104.4,0.0,496.963,CL
104.6,0.0,496.958,CL
104.8,0.0,496.953,CL
105.0,0.0,496.948,CL
105.2,0.0,496.943,CL
105.4,0.0,496.939,CL
105.6,0.0,496.934,CL
105.8,0.0,496.929,CL
106.0,0.0,496.924,CL
106.2,0.0,496.92,CL
106.4,0.0,496.915,CL
106.6,0.0,497.006,CL
106.8,0.0,497.001,CL
107.0,0.0,496.997,CL
107.2,0.0,496.993,CL
107.4,0.0,496.989,CL
107.6,0.0,496.984,CL
107.8,0.0,496.98,CL
108.0,0.0,496.976,CL
108.2,0.0,496.972,CL
108.4,0.0,496.968,CL
108.6,0.0,496.964,CL
108.8,0.0,496.961,CL
109.0,0.0,496.957,CL
109.2,0.0,496.953,CL
109.4,0.0,496.95,CL
109.6,0.0,496.946,CL
109.8,0.0,496.943,CL
110.0,0.0,496.939,CL
110.2,0.0,496.936,CL
110.4,0.0,496.933,CL
110.6,0.0,496.93,CL
110.8,0.0,496.926,CL
111.0,0.0,496.923,CL
111.2,0.0,496.92,CL
111.4,0.0,496.917,CL
111.6,0.0,496.914,CL
111.8,0.0,496.911,CL
112.0,0.0,496.908,CL
112.2,0.0,496.905,CL
112.4,0.0,496.902,CL
112.6,0.0,496.899,CL
112.8,0.0,496.896,CL
113.0,0.0,496.894,CL
113.2,0.0,496.891,CL
113.4,0.0,496.888,CL
113.6,0.0,496.885,CL
113.8,0.0,496.882,CL
114.0,0.0,496.879,CL
114.2,0.0,496.877,CL
114.4,0.0,496.874,CL
114.6,0.0,496.871,CL
114.8,0.0,496.868,CL
115.0,0.0,496.866,CL
115.2,0.0,496.863,CL
115.4,0.0,496.86,CL
115.6,0.0,496.857,CL
115.8,0.0,496.854,CL
116.0,0.0,496.852,CL
116.2,0.0,496.849,CL
116.4,0.0,496.846,CL
116.6,0.0,496.843,CL
116.8,0.0,496.84,CL
117.0,0.0,496.838,CL
117.2,0.0,496.835,CL
117.4,0.0,496.832,CL
117.6,0.0,496.829,CL
117.8,0.0,496.826,CL
118.0,0.0,496.823,CL
118.2,0.0,496.821,CL
118.4,0.0,496.818,CL
118.6,0.0,496.815,CL
118.8,0.0,496.812,CL
119.0,0.0,496.81,CL
119.2,0.0,496.807,CL
119.4,0.0,496.804,CL
119.6,0.0,496.801,CL
119.8,0.0,496.799,CL
120.0,0.0,496.796,CL
120.2,0.0,496.793,CL
120.4,0.0,496.79,CL
120.6,0.0,496.788,CL
120.8,0.0,496.785,CL
121.0,0.0,496.782,CL
121.2,0.0,496.78,CL
121.4,0.0,496.777,CL
121.6,0.0,496.774,CL
121.8,0.0,496.772,CL
122.0,0.0,496.886,CL
122.2,0.0,496.883,CL
122.4,0.0,496.88,CL
122.6,0.0,496.877,CL
