X,Y,Z,Label
0,0.0,1000.0,CL
1,0.0,999.819,CL
2,0.0,999.64,CL
3,0.0,999.464,CL
4,0.0,999.292,CL
5,0.0,999.126,CL
6,0.0,998.968,CL
7,0.0,998.817,CL
8,0.0,998.676,CL
9,0.0,998.546,CL
10,0.0,998.428,CL
11,0.0,998.323,CL
12,0.0,998.232,CL
13,0.0,998.154,CL
14,0.0,998.092,CL
15,0.0,998.046,CL
16,0.0,998.015,CL
17,0.0,998.001,CL
18,0.0,998.003,CL
19,0.0,998.022,CL
20,0.0,998.056,CL
21,0.0,998.106,CL
22,0.0,998.172,CL
23,0.0,998.253,CL
24,0.0,998.348,CL
25,0.0,998.457,CL
26,0.0,998.578,CL
27,0.0,998.711,CL
28,0.0,998.854,CL
29,0.0,999.007,CL
30,0.0,999.167,CL
31,0.0,999.335,CL
32,0.0,999.508,CL
33,0.0,999.685,CL
34,0.0,999.864,CL
35,0.0,1000.045,CL
36,0.0,1000.226,CL
37,0.0,1000.404,CL
38,0.0,1000.579,CL
39,0.0,1000.75,CL
40,0.0,1000.914,CL
41,0.0,1001.071,CL
42,0.0,1001.219,CL
43,0.0,1001.357,CL
44,0.0,1001.484,CL
45,0.0,1001.599,CL
46,0.0,1001.701,CL
47,0.0,1001.789,CL
48,0.0,1001.863,CL
49,0.0,1001.921,CL
50,0.0,1001.963,CL
51,0.0,1001.99,CL
52,0.0,1002.0,CL
53,0.0,1001.994,CL
54,0.0,1001.971,CL
55,0.0,1001.933,CL
56,0.0,1001.879,CL
57,0.0,1001.809,CL
58,0.0,1001.724,CL
59,0.0,1001.626,CL
60,0.0,1001.514,CL
61,0.0,1001.39,CL
62,0.0,1001.255,CL
63,0.0,1001.109,CL
64,0.0,1000.954,CL
65,0.0,1000.791,CL
66,0.0,1000.622,CL
67,0.0,1000.448,CL
68,0.0,1000.27,CL
69,0.0,1000.09,CL
70,0.0,999.91,CL
71,0.0,999.73,CL
72,0.0,999.552,CL
73,0.0,999.378,CL
74,0.0,999.209,CL
75,0.0,999.046,CL
76,0.0,998.891,CL
77,0.0,998.745,CL
78,0.0,998.61,CL
79,0.0,998.486,CL
80,0.0,998.374,CL
81,0.0,998.276,CL
82,0.0,998.191,CL
83,0.0,998.121,CL
84,0.0,998.067,CL
85,0.0,998.029,CL
86,0.0,998.006,CL
87,0.0,998.0,CL
88,0.0,998.01,CL
89,0.0,998.037,CL
90,0.0,998.079,CL
91,0.0,998.137,CL
92,0.0,998.211,CL
93,0.0,998.299,CL
94,0.0,998.401,CL
95,0.0,998.516,CL
96,0.0,998.643,CL
97,0.0,998.781,CL
98,0.0,998.929,CL
99,0.0,999.086,CL
100,0.0,999.25,CL
101,0.0,999.421,CL
102,0.0,999.596,CL
103,0.0,999.774,CL
104,0.0,999.955,CL
105,0.0,1000.136,CL
106,0.0,1000.315,CL
107,0.0,1000.492,CL
108,0.0,1000.665,CL
109,0.0,1000.833,CL
110,0.0,1000.993,CL
111,0.0,1001.146,CL
112,0.0,1001.289,CL
113,0.0,1001.422,CL
114,0.0,1001.543,CL
115,0.0,1001.652,CL
116,0.0,1001.747,CL
117,0.0,1001.828,CL
118,0.0,1001.894,CL
119,0.0,1001.944,CL
120,0.0,1001.978,CL
121,0.0,1001.997,CL
122,0.0,1001.999,CL
123,0.0,1001.985,CL
124,0.0,1001.954,CL
125,0.0,1001.908,CL
126,0.0,1001.846,CL
127,0.0,1001.768,CL
128,0.0,1001.677,CL
129,0.0,1001.572,CL
130,0.0,1001.454,CL
131,0.0,1001.324,CL
132,0.0,1001.183,CL
133,0.0,1001.032,CL
134,0.0,1000.874,CL
135,0.0,1000.708,CL
136,0.0,1000.536,CL
137,0.0,1000.36,CL
138,0.0,1000.181,CL
139,0.0,1000.181,CL
0,0,1000.0,XS
0,1,1000.033,XS
0,2,1000.132,XS
0,3,1000.297,XS
0,4,1000.529,XS
0,5,1000.826,XS
0,-2,1000.132,XS
0,-5,1000.826,XS
0,-4,1000.529,XS
0,-3,1000.297,XS
0,-1,1000.033,XS
1,0,999.819,XS
1,1,999.858,XS
1,2,999.976,XS
1,3,1000.171,XS
1,4,1000.444,XS
1,5,1000.795,XS
1,-2,999.976,XS
1,-5,1000.795,XS
1,-4,1000.444,XS
1,-3,1000.171,XS
1,-1,999.858,XS
2,0,999.64,XS
