X,Z
0,1000.0
1,999.8194351111213
2,999.6403450035207
3,999.4641924130568
4,999.2924160831317
5,999.1264190136142
6,998.9675570017017
7,998.8171275683158
8,998.6763593604729
9,998.5464021161912
10,998.4283172738933
11,998.3230693030048
12,998.2315178265562
13,998.1544106001289
14,998.0923774044886
15,998.0459249017891
16,998.015432497361
17,998.0011492408805
18,998.0031917922332
19,998.0215434686825
20,998.0560543811274
21,998.1064426583365
22,998.1722967491589
23,998.2530787839077
24,998.3481289674633
25,998.4566709682139
26,998.5778182588199
27,998.7105813570116
28,998.853875907282
29,999.0065315374655
30,999.167301417867
31,999.3348724448637
32,999.5078759658073
33,999.6848989576273
34,999.8644955678338
35,1000.0451989236591
36,1000.2255331128828
37,1000.4040252384884
38,1000.5792174486937
39,1000.7496788440956
40,1000.9140171646809
41,1001.070890161245
42,1001.2190165583427
43,1001.3571865192301
44,1001.4842715273238
45,1001.5992336034693
46,1001.7011337837371
47,1001.7891397885018
48,1001.8625328201664
49,1001.9207134340123
50,1001.9632064342217
51,1001.9896647550855
52,1001.9998722956968
53,1001.9937456849756
54,1001.9713349626105
55,1001.9328231703543
56,1001.8785248570128
57,1001.8088835093376
58,1001.7244679298038
59,1001.625967590861
60,1001.5141870036003
61,1001.3900391468318
62,1001.2545380102406
63,1001.1087903125286
64,1000.9539864621814
65,1000.7913908346914
66,1000.6223314456477
67,1000.4481891040405
68,1000.2703861343687
69,1000.0903747596672
70,999.9096252403328
71,999.7296138656313
72,999.5518108959595
73,999.3776685543523
74,999.2086091653086
75,999.0460135378186
76,998.8912096874714
77,998.7454619897594
78,998.6099608531682
79,998.4858129963997
80,998.374032409139
81,998.2755320701962
82,998.1911164906624
83,998.1214751429872
84,998.0671768296457
85,998.0286650373895
86,998.0062543150244
87,998.0001277043032
88,998.0103352449145
89,998.0367935657783
90,998.0792865659877
91,998.1374671798336
92,998.2108602114982
93,998.2988662162629
94,998.4007663965307
95,998.5157284726762
96,998.6428134807699
97,998.7809834416573
98,998.929109838755
99,999.0859828353191
100,999.2503211559044
101,999.4207825513063
102,999.5959747615115
103,999.7744668871172
104,999.9548010763409
105,1000.1355044321662
106,1000.3151010423727
107,1000.4921240341927
108,1000.6651275551363
109,1000.832698582133
110,1000.9934684625345
111,1001.146124092718
112,1001.2894186429884
113,1001.4221817411801
114,1001.5433290317861
115,1001.6518710325367
116,1001.7469212160923
117,1001.8277032508411
118,1001.8935573416635
119,1001.9439456188726
120,1001.9784565313175
121,1001.9968082077668
122,1001.9988507591195
123,1001.984567502639
124,1001.9540750982109
125,1001.9076225955114
126,1001.8455893998711
127,1001.7684821734438
128,1001.6769306969952
129,1001.5716827261067
130,1001.4535978838088
131,1001.3236406395271
132,1001.1828724316842
133,1001.0324429982983
134,1000.8735809863858
135,1000.7075839168683
136,1000.5358075869432
137,1000.3596549964793
138,1000.1805648888787
139,1000.0
0,1000.9998722956968
0,1000.9998722956968
0,1000.9998722956968
1,1000.9998722956968
2,1000.9998722956968
3,1000.9998722956968
4,1000.9998722956968
5,1000.9998722956968
6,1000.9998722956968
7,1000.9998722956968
8,1000.9998722956968
9,1000.9998722956968
10,1000.9998722956968
11,1000.9998722956968
12,1000.9998722956968
13,1000.9998722956968
14,1000.9998722956968
15,1000.9998722956968
16,1000.9998722956968
17,1000.9998722956968
18,1000.9998722956968
19,1000.9998722956968
20,1000.9998722956968
21,1000.9998722956968
22,1000.9998722956968
23,1000.9998722956968
24,1000.9998722956968
25,1000.9998722956968
26,1000.9998722956968
27,1000.9998722956968
28,1000.9998722956968
29,1000.9998722956968
30,1000.9998722956968
31,1000.9998722956968
32,1000.9998722956968
33,1000.9998722956968
34,1000.9998722956968
35,1000.9998722956968
36,1000.9998722956968
37,1000.9998722956968
38,1000.9998722956968
39,1000.9998722956968
40,1000.9998722956968
41,1000.9998722956968
42,1000.9998722956968
43,1000.9998722956968
44,1000.9998722956968
45,1000.9998722956968
46,1000.9998722956968
47,1000.9998722956968
48,1000.9998722956968
49,1000.9998722956968
50,1000.9998722956968
51,1000.9998722956968
52,1000.9998722956968
53,1000.9998722956968
54,1000.9998722956968
55,1000.9998722956968
56,1000.9998722956968
57,1000.9998722956968
58,1000.9998722956968
59,1000.9998722956968
60,1000.9998722956968
61,1000.9998722956968
62,1000.9998722956968
63,1000.9998722956968
64,1000.9998722956968
65,1000.9998722956968
66,1000.9998722956968
67,1000.9998722956968
68,1000.9998722956968
69,1000.9998722956968
70,1000.9998722956968
71,1000.9998722956968
72,1000.9998722956968
73,1000.9998722956968
74,1000.9998722956968
75,1000.9998722956968
76,1000.9998722956968
77,1000.9998722956968
78,1000.9998722956968
79,1000.9998722956968
80,1000.9998722956968
81,1000.9998722956968
82,1000.9998722956968
83,1000.9998722956968
84,1000.9998722956968
85,1000.9998722956968
86,1000.9998722956968
87,1000.9998722956968
88,1000.9998722956968
89,1000.9998722956968
90,1000.9998722956968
91,1000.9998722956968
92,1000.9998722956968
93,1000.9998722956968
94,1000.9998722956968
95,1000.9998722956968
96,1000.9998722956968
97,1000.9998722956968
98,1000.9998722956968
99,1000.9998722956968
100,1000.9998722956968
101,1000.9998722956968
102,1000.9998722956968
103,1000.9998722956968
104,1000.9998722956968
105,1000.9998722956968
106,1000.9998722956968
107,1000.9998722956968
108,1000.9998722956968
109,1000.9998722956968
110,1000.9998722956968
111,1000.9998722956968
112,1000.9998722956968
113,1000.9998722956968
114,1000.9998722956968
115,1000.9998722956968
116,1000.9998722956968
117,1000.9998722956968
118,1000.9998722956968
119,1000.9998722956968
120,1000.9998722956968
121,1000.9998722956968
122,1000.9998722956968
123,1000.9998722956968
124,1000.9998722956968
125,1000.9998722956968
126,1000.9998722956968
127,1000.9998722956968
128,1000.9998722956968
129,1000.9998722956968
130,1000.9998722956968
131,1000.9998722956968
132,1000.9998722956968
133,1000.9998722956968
134,1000.9998722956968
135,1000.9998722956968
136,1000.9998722956968
137,1000.9998722956968
138,1000.9998722956968
138,1000.9998722956968
138,1000.9998722956968
0,1009.0288722956968
1,1009.0288722956968
2,1009.0288722956968
3,1009.0288722956968
4,1009.0288722956968
5,1009.0288722956968
6,1009.0288722956968
7,1009.0288722956968
8,1009.0288722956968
9,1009.0288722956968
10,1009.0288722956968
11,1009.0288722956968
12,1009.0288722956968
13,1009.0288722956968
14,1009.0288722956968
15,1009.0288722956968
16,1009.0288722956968
17,1009.0288722956968
18,1009.0288722956968
19,1009.0288722956968
20,1009.0288722956968
21,1009.0288722956968
22,1009.0288722956968
23,1009.0288722956968
24,1009.0288722956968
25,1009.0288722956968
26,1009.0288722956968
27,1009.0288722956968
28,1009.0288722956968
29,1009.0288722956968
30,1009.0288722956968
31,1009.0288722956968
32,1009.0288722956968
33,1009.0288722956968
34,1009.0288722956968
35,1009.0288722956968
36,1009.0288722956968
37,1009.0288722956968
38,1009.0288722956968
39,1009.0288722956968
40,1009.0288722956968
41,1009.0288722956968
42,1009.0288722956968
43,1009.0288722956968
44,1009.0288722956968
45,1009.0288722956968
46,1009.0288722956968
47,1009.0288722956968
48,1009.0288722956968
49,1009.0288722956968
50,1009.0288722956968
51,1009.0288722956968
52,1009.0288722956968
53,1009.0288722956968
54,1009.0288722956968
55,1009.0288722956968
56,1009.0288722956968
57,1009.0288722956968
58,1009.0288722956968
59,1009.0288722956968
60,1009.0288722956968
61,1009.0288722956968
62,1009.0288722956968
63,1009.0288722956968
64,1009.0288722956968
65,1009.0288722956968
66,1009.0288722956968
67,1009.0288722956968
68,1009.0288722956968
69,1009.0288722956968
70,1009.0288722956968
71,1009.0288722956968
72,1009.0288722956968
73,1009.0288722956968
74,1009.0288722956968
75,1009.0288722956968
76,1009.0288722956968
77,1009.0288722956968
78,1009.0288722956968
79,1009.0288722956968
80,1009.0288722956968
81,1009.0288722956968
82,1009.0288722956968
83,1009.0288722956968
84,1009.0288722956968
85,1009.0288722956968
86,1009.0288722956968
87,1009.0288722956968
88,1009.0288722956968
89,1009.0288722956968
90,1009.0288722956968
91,1009.0288722956968
92,1009.0288722956968
93,1009.0288722956968
94,1009.0288722956968
95,1009.0288722956968
96,1009.0288722956968
97,1009.0288722956968
98,1009.0288722956968
99,1009.0288722956968
100,1009.0288722956968
101,1009.0288722956968
102,1009.0288722956968
103,1009.0288722956968
104,1009.0288722956968
105,1009.0288722956968
106,1009.0288722956968
107,1009.0288722956968
108,1009.0288722956968
109,1009.0288722956968
110,1009.0288722956968
111,1009.0288722956968
112,1009.0288722956968
113,1009.0288722956968
114,1009.0288722956968
115,1009.0288722956968
116,1009.0288722956968
117,1009.0288722956968
118,1009.0288722956968
119,1009.0288722956968
120,1009.0288722956968
121,1009.0288722956968
122,1009.0288722956968
123,1009.0288722956968
124,1009.0288722956968
125,1009.0288722956968
126,1009.0288722956968
127,1009.0288722956968
128,1009.0288722956968
129,1009.0288722956968
130,1009.0288722956968
131,1009.0288722956968
132,1009.0288722956968
133,1009.0288722956968
134,1009.0288722956968
135,1009.0288722956968
136,1009.0288722956968
137,1009.0288722956968
138,1009.0288722956968
0,1014.0288722956968
1,1014.0288722956968
2,1014.0288722956968
3,1014.0288722956968
4,1014.0288722956968
5,1014.0288722956968
6,1014.0288722956968
7,1014.0288722956968
8,1014.0288722956968
9,1014.0288722956968
10,1014.0288722956968
11,1014.0288722956968
12,1014.0288722956968
13,1014.0288722956968
14,1014.0288722956968
15,1014.0288722956968
16,1014.0288722956968
17,1014.0288722956968
18,1014.0288722956968
19,1014.0288722956968
20,1014.0288722956968
21,1014.0288722956968
22,1014.0288722956968
23,1014.0288722956968
24,1014.0288722956968
25,1014.0288722956968
26,1014.0288722956968
27,1014.0288722956968
28,1014.0288722956968
29,1014.0288722956968
30,1014.0288722956968
31,1014.0288722956968
32,1014.0288722956968
33,1014.0288722956968
34,1014.0288722956968
35,1014.0288722956968
36,1014.0288722956968
37,1014.0288722956968
38,1014.0288722956968
39,1014.0288722956968
40,1014.0288722956968
41,1014.0288722956968
42,1014.0288722956968
43,1014.0288722956968
44,1014.0288722956968
45,1014.0288722956968
46,1014.0288722956968
47,1014.0288722956968
48,1014.0288722956968
49,1014.0288722956968
50,1014.0288722956968
51,1014.0288722956968
52,1014.0288722956968
53,1014.0288722956968
54,1014.0288722956968
55,1014.0288722956968
56,1014.0288722956968
57,1014.0288722956968
58,1014.0288722956968
59,1014.0288722956968
60,1014.0288722956968
61,1014.0288722956968
62,1014.0288722956968
63,1014.0288722956968
