X,Y,ID
0,36,LV0
1,36,LV0
2,36,LV0
3,36,LV0
4,36,LV0
5,36,LV0
6,36,LV0
7,36,LV0
8,36,LV0
9,36,LV0
10,36,LV0
11,36,LV0
12,36,LV0
13,36,LV0
14,36,LV0
15,36,LV0
16,36,LV0
17,36,LV0
18,36,LV0
19,36,LV0
20,36,LV0
21,36,LV0
22,36,LV0
23,36,LV0
24,36,LV0
25,36,LV0
26,36,LV0
27,36,LV0
28,36,LV0
29,36,LV0
30,36,LV0
31,36,LV0
32,36,LV0
33,36,LV0
34,36,LV0
35,36,LV0
36,36,LV0
37,36,LV0
38,36,LV0
39,36,LV0
40,36,LV0
41,36,LV0
42,36,LV0
43,36,LV0
44,36,LV0
45,36,LV0
46,36,LV0
47,36,LV0
48,36,LV0
49,36,LV0
50,36,LV0
51,36,LV0
52,36,LV0
53,36,LV0
54,36,LV0
55,36,LV0
56,36,LV0
57,36,LV0
58,36,LV0
59,36,LV0
60,36,LV0
61,36,LV0
62,36,LV0
63,36,LV0
64,36,LV0
65,36,LV0
66,36,LV0
67,36,LV0
68,36,LV0
69,36,LV0
70,36,LV0
71,36,LV0
72,36,LV0
73,36,LV0
74,36,LV0
75,36,LV0
76,36,LV0
77,36,LV0
78,36,LV0
79,36,LV0
80,36,LV0
81,36,LV0
82,36,LV0
83,36,LV0
84,36,LV0
85,36,LV0
86,36,LV0
87,36,LV0
88,36,LV0
89,36,LV0
90,36,LV0
91,36,LV0
92,36,LV0
93,36,LV0
94,36,LV0
95,36,LV0
96,36,LV0
97,36,LV0
98,36,LV0
99,36,LV0
100,36,LV0
101,36,LV0
102,36,LV0
103,36,LV0
104,36,LV0
105,36,LV0
106,36,LV0
107,36,LV0
108,36,LV0
109,36,LV0
110,36,LV0
111,36,LV0
112,36,LV0
113,36,LV0
114,36,LV0
115,36,LV0
116,36,LV0
117,36,LV0
118,36,LV0
119,36,LV0
120,36,LV0
121,36,LV0
122,36,LV0
123,36,LV0
124,36,LV0
125,36,LV0
126,36,LV0
127,36,LV0
128,36,LV0
129,36,LV0
130,36,LV0
131,36,LV0
132,36,LV0
133,36,LV0
134,36,LV0
135,36,LV0
136,36,LV0
137,36,LV0
138,36,LV0
0,5,LB0
0,4,LB0
0,3,LB0
1,5,LB0
2,5,LB0
3,5,LB0
4,5,LB0
5,5,LB0
6,5,LB0
7,5,LB0
8,5,LB0
9,5,LB0
10,5,LB0
11,5,LB0
12,5,LB0
13,5,LB0
14,5,LB0
15,5,LB0
16,5,LB0
17,5,LB0
18,5,LB0
19,5,LB0
20,5,LB0
21,5,LB0
22,5,LB0
23,5,LB0
24,5,LB0
25,5,LB0
26,5,LB0
27,5,LB0
28,5,LB0
29,5,LB0
30,5,LB0
31,5,LB0
32,5,LB0
33,5,LB0
34,5,LB0
35,5,LB0
