X,S,C
32.89320266611802,-0.21446224089738392,-0.0023937543213086603
33.665099872157,-0.21696738453156444,-0.0023473744358236013
34.44322312197225,-0.21942651822001472,-0.0023020846046642594
35.22750093594243,-0.22184066733117644,-0.002257844980838679
36.01786023914466,-0.22421081946678076,-0.002214617656606206
36.814226376472874,-0.2265379263506823,-0.002172366575426281
37.616523128511716,-0.2288229056311692,-0.002131057447869428
38.424672728161894,-0.23106664260181195,-0.002090657674423547
39.2385958780088,-0.2332699918455461,-0.00205113626984345
40.05821176842955,-0.23543377880637936,-0.002012463793031183
40.88343809642972,-0.2375588012927348,-0.001974612280896387
41.71419108520145,-0.2396458309164982,-0.0019375551845227477
42.55038550439552,-0.24169561447105098,-0.0019012673097125517
43.39193469109661,-0.24370887525157295,-0.0018657247601928373
44.23875057149109,-0.24568631432124316,-0.0018309048831908108
45.09074368321923,-0.2476286117253175,-0.001796786219035316
45.947823198396776,-0.24953642765681897,-0.0017633484526906893
46.80989694729644,-0.2514104035756321,-0.0017305723670110271
47.676871442677,-0.25325116328339053,-0.0016984397992843212
48.5486519047426,-0.2550593139571778,-0.0016669335993343166
49.4251422867258,-0.25683544714278794,-0.001636037589948477
50.306245301071016,-0.2585801397107638,-0.0016057365292758015
51.19186244621144,-0.260293954776254,-0.001576016074432963
52.08189403391876,-0.2619774425845307,-0.001546862747246033
52.97623921721136,-0.26363114136394505,-0.001518263901534576
53.874796018804524,-0.2652555781477161,-0.0014902076919422577
54.777461360085084,-0.26685126956589866,-0.0014626830439657755
55.684131090594086,-0.2684187226087978,-0.0014356796254305594
56.59470001799698,-0.26995843536329317,-0.0014091878191064547
57.50906193852507,-0.2714708977231126,-0.0013831986964701927
58.427109667869956,-0.27295659207389217,-0.0013577039930766008
59.348735072507914,-0.2744159939546061,-0.0013326960843688868
60.2738291014388,-0.27584957269578436,-0.0013081679625817982
61.202281818317175,-0.2772577920357808,-0.0012841132148600028
62.13398243395616,-0.2786411107157191,-0.0012605260023502974
63.06881933918076,-0.27999998305425206,-0.0012374010395118415
