X,Z
0,999.0
1,999.1805648888787
2,999.3596549964793
3,999.5358075869432
4,999.7075839168683
5,999.8735809863858
6,1000.0324429982983
7,1000.1828724316842
8,1000.3236406395271
9,1000.4535978838088
10,1000.5716827261067
11,1000.6769306969952
12,1000.7684821734438
13,1000.8455893998711
14,1000.9076225955114
15,1000.9540750982109
16,1000.984567502639
17,1000.9988507591195
18,1000.9968082077668
19,1000.9784565313175
20,1000.9439456188726
21,1000.8935573416635
22,1000.8277032508411
23,1000.7469212160923
24,1000.6518710325367
25,1000.5433290317861
26,1000.4221817411801
27,1000.2894186429884
28,1000.146124092718
29,999.9934684625345
30,999.832698582133
31,999.6651275551363
32,999.4921240341927
33,999.3151010423727
34,999.1355044321662
35,998.9548010763409
36,998.7744668871172
37,998.5959747615116
38,998.4207825513063
39,998.2503211559044
40,998.0859828353191
41,997.929109838755
42,997.7809834416573
43,997.6428134807699
44,997.5157284726762
45,997.4007663965307
46,997.2988662162629
47,997.2108602114982
48,997.1374671798336
49,997.0792865659877
50,997.0367935657783
51,997.0103352449145
52,997.0001277043032
53,997.0062543150244
54,997.0286650373895
55,997.0671768296457
56,997.1214751429872
57,997.1911164906624
58,997.2755320701962
59,997.374032409139
60,997.4858129963997
61,997.6099608531682
62,997.7454619897594
63,997.8912096874714
64,998.0460135378186
65,998.2086091653086
66,998.3776685543523
67,998.5518108959595
68,998.7296138656313
69,998.9096252403328
70,999.0903747596672
71,999.2703861343687
72,999.4481891040405
73,999.6223314456477
74,999.7913908346914
75,999.9539864621814
76,1000.1087903125286
77,1000.2545380102406
78,1000.3900391468318
79,1000.5141870036003
80,1000.625967590861
81,1000.7244679298038
82,1000.8088835093376
83,1000.8785248570128
84,1000.9328231703543
85,1000.9713349626105
86,1000.9937456849756
87,1000.9998722956968
88,1000.9896647550855
89,1000.9632064342217
90,1000.9207134340123
91,1000.8625328201664
92,1000.7891397885018
93,1000.7011337837371
94,1000.5992336034693
95,1000.4842715273238
96,1000.3571865192301
97,1000.2190165583427
98,1000.070890161245
99,999.9140171646809
100,999.7496788440956
101,999.5792174486937
102,999.4040252384885
103,999.2255331128828
104,999.0451989236591
105,998.8644955678338
106,998.6848989576273
107,998.5078759658073
108,998.3348724448637
109,998.167301417867
110,998.0065315374655
111,997.853875907282
112,997.7105813570116
113,997.5778182588199
114,997.4566709682139
115,997.3481289674633
116,997.2530787839077
117,997.1722967491589
118,997.1064426583365
119,997.0560543811274
120,997.0215434686825
121,997.0031917922332
122,997.0011492408805
123,997.015432497361
124,997.0459249017891
125,997.0923774044886
126,997.1544106001289
127,997.2315178265562
128,997.3230693030048
129,997.4283172738933
130,997.5464021161912
131,997.6763593604729
132,997.8171275683158
133,997.9675570017017
134,998.1264190136142
135,998.2924160831317
136,998.4641924130568
137,998.6403450035207
138,998.8194351111213
139,999.0
0.0,1001.9997445913937
1.0,1001.9997445913937
2.0,1001.9997445913937
3.0,1001.9997445913937
4.0,1001.9997445913937
5.0,1001.9997445913937
6.0,1001.9997445913937
7.0,1001.9997445913937
8.0,1001.9997445913937
9.0,1001.9997445913937
10.0,1001.9997445913937
11.0,1001.9997445913937
12.0,1001.9997445913937
13.0,1001.9997445913937
14.0,1001.9997445913937
15.0,1001.9997445913937
16.0,1001.9997445913937
17.0,1001.9997445913937
18.0,1001.9997445913937
19.0,1001.9997445913937
20.0,1001.9997445913937
21.0,1001.9997445913937
22.0,1001.9997445913937
23.0,1001.9997445913937
24.0,1001.9997445913937
25.0,1001.9997445913937
26.0,1001.9997445913937
27.0,1001.9997445913937
28.0,1001.9997445913937
29.0,1001.9997445913937
30.0,1001.9997445913937
31.0,1001.9997445913937
32.0,1001.9997445913937
33.0,1001.9997445913937
34.0,1001.9997445913937
35.0,1001.9997445913937
36.0,1001.9997445913937
37.0,1001.9997445913937
38.0,1001.9997445913937
39.0,1001.9997445913937
40.0,1001.9997445913937
41.0,1001.9997445913937
42.0,1001.9997445913937
43.0,1001.9997445913937
44.0,1001.9997445913937
45.0,1001.9997445913937
46.0,1001.9997445913937
47.0,1001.9997445913937
48.0,1001.9997445913937
49.0,1001.9997445913937
50.0,1001.9997445913937
51.0,1001.9997445913937
52.0,1001.9997445913937
53.0,1001.9997445913937
54.0,1001.9997445913937
55.0,1001.9997445913937
56.0,1001.9997445913937
57.0,1001.9997445913937
58.0,1001.9997445913937
59.0,1001.9997445913937
60.0,1001.9997445913937
61.0,1001.9997445913937
62.0,1001.9997445913937
63.0,1001.9997445913937
64.0,1001.9997445913937
65.0,1001.9997445913937
66.0,1001.9997445913937
67.0,1001.9997445913937
68.0,1001.9997445913937
69.0,1001.9997445913937
70.0,1001.9997445913937
71.0,1001.9997445913937
72.0,1001.9997445913937
73.0,1001.9997445913937
74.0,1001.9997445913937
75.0,1001.9997445913937
76.0,1001.9997445913937
77.0,1001.9997445913937
78.0,1001.9997445913937
79.0,1001.9997445913937
80.0,1001.9997445913937
81.0,1001.9997445913937
82.0,1001.9997445913937
83.0,1001.9997445913937
84.0,1001.9997445913937
85.0,1001.9997445913937
86.0,1001.9997445913937
87.0,1001.9997445913937
88.0,1001.9997445913937
89.0,1001.9997445913937
90.0,1001.9997445913937
91.0,1001.9997445913937
92.0,1001.9997445913937
93.0,1001.9997445913937
94.0,1001.9997445913937
95.0,1001.9997445913937
96.0,1001.9997445913937
97.0,1001.9997445913937
98.0,1001.9997445913937
99.0,1001.9997445913937
100.0,1001.9997445913937
101.0,1001.9997445913937
102.0,1001.9997445913937
103.0,1001.9997445913937
104.0,1001.9997445913937
105.0,1001.9997445913937
106.0,1001.9997445913937
107.0,1001.9997445913937
108.0,1001.9997445913937
109.0,1001.9997445913937
110.0,1001.9997445913937
111.0,1001.9997445913937
112.0,1001.9997445913937
113.0,1001.9997445913937
114.0,1001.9997445913937
115.0,1001.9997445913937
116.0,1001.9997445913937
117.0,1001.9997445913937
118.0,1001.9997445913937
119.0,1001.9997445913937
120.0,1001.9997445913937
121.0,1001.9997445913937
122.0,1001.9997445913937
123.0,1001.9997445913937
124.0,1001.9997445913937
125.0,1001.9997445913937
126.0,1001.9997445913937
127.0,1001.9997445913937
128.0,1001.9997445913937
129.0,1001.9997445913937
130.0,1001.9997445913937
131.0,1001.9997445913937
132.0,1001.9997445913937
133.0,1001.9997445913937
134.0,1001.9997445913937
135.0,1001.9997445913937
136.0,1001.9997445913937
137.0,1001.9997445913937
138.0,1001.9997445913937
138.0,1001.9997445913937
0.0,1006.9997445913937
1.0,1006.9997445913937
2.0,1006.9997445913937
3.0,1006.9997445913937
4.0,1006.9997445913937
5.0,1006.9997445913937
6.0,1006.9997445913937
7.0,1006.9997445913937
8.0,1006.9997445913937
9.0,1006.9997445913937
10.0,1006.9997445913937
11.0,1006.9997445913937
12.0,1006.9997445913937
13.0,1006.9997445913937
14.0,1006.9997445913937
15.0,1006.9997445913937
16.0,1006.9997445913937
17.0,1006.9997445913937
18.0,1006.9997445913937
19.0,1006.9997445913937
20.0,1006.9997445913937
21.0,1006.9997445913937
22.0,1006.9997445913937
23.0,1006.9997445913937
24.0,1006.9997445913937
25.0,1006.9997445913937
26.0,1006.9997445913937
27.0,1006.9997445913937
28.0,1006.9997445913937
29.0,1006.9997445913937
30.0,1006.9997445913937
31.0,1006.9997445913937
32.0,1006.9997445913937
33.0,1006.9997445913937
34.0,1006.9997445913937
35.0,1006.9997445913937
36.0,1006.9997445913937
37.0,1006.9997445913937
38.0,1006.9997445913937
39.0,1006.9997445913937
40.0,1006.9997445913937
41.0,1006.9997445913937
42.0,1006.9997445913937
43.0,1006.9997445913937
44.0,1006.9997445913937
45.0,1006.9997445913937
46.0,1006.9997445913937
47.0,1006.9997445913937
48.0,1006.9997445913937
49.0,1006.9997445913937
50.0,1006.9997445913937
51.0,1006.9997445913937
52.0,1006.9997445913937
53.0,1006.9997445913937
54.0,1006.9997445913937
55.0,1006.9997445913937
56.0,1006.9997445913937
57.0,1006.9997445913937
58.0,1006.9997445913937
59.0,1006.9997445913937
60.0,1006.9997445913937
61.0,1006.9997445913937
62.0,1006.9997445913937
63.0,1006.9997445913937
64.0,1006.9997445913937
65.0,1006.9997445913937
