X,Y,Z,Label
1.0,-4.0,1000.437,XS
1.0,-3.0,1000.32,XS
1.0,-1.0,1000.235,XS
1.0,-2.0,1000.277,XS
2.0,0.0,1000.389,XS
2.0,1.0,1000.367,XS
2.0,2.0,1000.345,XS
2.0,3.0,1000.331,XS
2.0,4.0,1000.348,XS
2.0,5.0,1000.428,XS
2.0,6.0,1000.509,XS
2.0,7.0,1000.558,XS
2.0,8.0,1000.601,XS
2.0,9.0,1000.644,XS
2.0,10.0,1000.776,XS
2.0,11.0,1000.964,XS
2.0,12.0,1001.096,XS
2.0,13.0,1001.229,XS
2.0,14.0,1001.512,XS
2.0,15.0,1001.976,XS
2.0,16.0,1002.44,XS
2.0,-15.0,1002.5,XS
2.0,-14.0,1002.041,XS
2.0,-13.0,1002.485,XS
2.0,-12.0,1001.778,XS
2.0,-11.0,1001.481,XS
2.0,-10.0,1001.213,XS
2.0,-9.0,1001.397,XS
2.0,-8.0,1000.974,XS
2.0,-7.0,1000.764,XS
2.0,-6.0,1000.675,XS
2.0,-5.0,1000.585,XS
2.0,-4.0,1000.681,XS
2.0,-3.0,1000.558,XS
2.0,-2.0,1000.788,XS
2.0,-1.0,1000.461,XS
3.0,0.0,1000.604,XS
3.0,1.0,1000.573,XS
3.0,2.0,1000.543,XS
3.0,3.0,1000.505,XS
3.0,4.0,1000.492,XS
3.0,5.0,1000.66,XS
3.0,6.0,1000.65,XS
3.0,7.0,1000.667,XS
3.0,8.0,1000.691,XS
3.0,9.0,1000.716,XS
3.0,10.0,1000.805,XS
3.0,11.0,1000.947,XS
3.0,12.0,1000.972,XS
3.0,13.0,1001.164,XS
3.0,14.0,1001.474,XS
3.0,15.0,1001.949,XS
3.0,16.0,1002.425,XS
3.0,-15.0,1002.485,XS
3.0,-14.0,1002.102,XS
3.0,-13.0,1001.991,XS
3.0,-12.0,1001.88,XS
3.0,-11.0,1001.629,XS
3.0,-10.0,1001.513,XS
3.0,-9.0,1001.397,XS
3.0,-8.0,1001.186,XS
3.0,-7.0,1000.995,XS
3.0,-6.0,1000.911,XS
3.0,-5.0,1000.827,XS
3.0,-4.0,1000.909,XS
3.0,-3.0,1000.849,XS
3.0,-1.0,1000.686,XS
3.0,-2.0,1000.788,XS
4.0,0.0,1000.816,XS
4.0,1.0,1001.018,XS
4.0,2.0,1000.745,XS
4.0,3.0,1000.692,XS
4.0,4.0,1000.676,XS
4.0,5.0,1000.66,XS
4.0,6.0,1000.809,XS
4.0,7.0,1000.802,XS
4.0,8.0,1000.95,XS
4.0,9.0,1000.821,XS
4.0,10.0,1000.873,XS
4.0,11.0,1000.923,XS
4.0,12.0,1000.972,XS
4.0,13.0,1001.14,XS
4.0,14.0,1001.436,XS
4.0,15.0,1001.923,XS
4.0,16.0,1002.41,XS
4.0,-15.0,1002.47,XS
4.0,-14.0,1002.151,XS
4.0,-13.0,1002.188,XS
4.0,-12.0,1001.964,XS
4.0,-11.0,1001.753,XS
4.0,-10.0,1001.654,XS
4.0,-9.0,1001.555,XS
4.0,-8.0,1001.371,XS
4.0,-7.0,1001.201,XS
4.0,-6.0,1001.382,XS
4.0,-5.0,1001.047,XS
4.0,-4.0,1001.118,XS
4.0,-3.0,1001.061,XS
4.0,-2.0,1001.003,XS
4.0,-1.0,1000.902,XS
5.0,0.0,1001.061,XS
5.0,1.0,1001.018,XS
5.0,2.0,1000.944,XS
5.0,3.0,1000.883,XS
5.0,4.0,1000.86,XS
5.0,5.0,1000.837,XS
5.0,6.0,1000.975,XS
5.0,7.0,1000.963,XS
5.0,8.0,1000.95,XS
5.0,9.0,1000.947,XS
5.0,10.0,1000.97,XS
5.0,11.0,1001.0,XS
5.0,12.0,1001.031,XS
5.0,13.0,1001.152,XS
5.0,14.0,1001.392,XS
5.0,15.0,1001.893,XS
5.0,16.0,1002.395,XS
5.0,-15.0,1002.455,XS
5.0,-14.0,1002.322,XS
5.0,-13.0,1002.188,XS
5.0,-12.0,1002.033,XS
5.0,-11.0,1001.856,XS
5.0,-10.0,1001.941,XS
5.0,-9.0,1001.689,XS
5.0,-8.0,1001.53,XS
5.0,-7.0,1001.456,XS
5.0,-6.0,1001.382,XS
5.0,-5.0,1001.244,XS
5.0,-4.0,1001.304,XS
5.0,-3.0,1001.468,XS
5.0,-1.0,1001.104,XS
5.0,-2.0,1001.199,XS
6.0,0.0,1001.246,XS
6.0,1.0,1001.205,XS
6.0,2.0,1001.132,XS
6.0,3.0,1001.068,XS
6.0,4.0,1001.242,XS
6.0,5.0,1001.015,XS
6.0,6.0,1001.139,XS
6.0,7.0,1001.122,XS
6.0,8.0,1001.104,XS
6.0,9.0,1001.084,XS
6.0,10.0,1001.084,XS
6.0,11.0,1001.099,XS
6.0,12.0,1001.114,XS
6.0,13.0,1001.195,XS
6.0,14.0,1001.378,XS
6.0,15.0,1001.39,XS
6.0,16.0,1002.38,XS
6.0,-15.0,1002.44,XS
6.0,-14.0,1002.329,XS
6.0,-13.0,1002.217,XS
6.0,-12.0,1002.087,XS
6.0,-11.0,1002.014,XS
6.0,-10.0,1001.941,XS
6.0,-9.0,1001.801,XS
6.0,-8.0,1001.667,XS
6.0,-7.0,1001.603,XS
6.0,-6.0,1001.539,XS
6.0,-5.0,1001.418,XS
6.0,-4.0,1001.443,XS
6.0,-3.0,1001.468,XS
6.0,-2.0,1001.374,XS
6.0,-1.0,1001.286,XS
7.0,0.0,1001.59,XS
7.0,1.0,1001.374,XS
7.0,2.0,1001.305,XS
7.0,3.0,1001.273,XS
7.0,4.0,1001.242,XS
7.0,5.0,1001.186,XS
7.0,6.0,1001.296,XS
7.0,7.0,1001.275,XS
7.0,8.0,1001.255,XS
7.0,9.0,1001.224,XS
7.0,10.0,1001.208,XS
7.0,11.0,1001.333,XS
7.0,12.0,1001.214,XS
7.0,13.0,1001.26,XS
7.0,14.0,1001.325,XS
7.0,15.0,1001.39,XS
7.0,16.0,1002.365,XS
7.0,-14.0,1002.425,XS
7.0,-13.0,1002.254,XS
7.0,-12.0,1002.131,XS
7.0,-11.0,1002.071,XS
7.0,-10.0,1002.011,XS
7.0,-9.0,1001.894,XS
7.0,-8.0,1001.781,XS
7.0,-7.0,1001.876,XS
7.0,-6.0,1001.672,XS
7.0,-5.0,1001.568,XS
7.0,-4.0,1001.589,XS
7.0,-3.0,1001.61,XS
7.0,-1.0,1001.449,XS
7.0,-2.0,1001.527,XS
8.0,0.0,1001.59,XS
8.0,1.0,1001.523,XS
8.0,2.0,1001.46,XS
8.0,3.0,1001.43,XS
8.0,4.0,1001.4,XS
8.0,5.0,1001.345,XS
8.0,6.0,1001.442,XS
8.0,7.0,1001.572,XS
8.0,8.0,1001.398,XS
8.0,9.0,1001.36,XS
8.0,10.0,1001.347,XS
8.0,11.0,1001.333,XS
8.0,12.0,1001.322,XS
8.0,13.0,1001.34,XS
8.0,14.0,1001.383,XS
8.0,15.0,1001.426,XS
8.0,16.0,1002.35,XS
8.0,-14.0,1002.41,XS
8.0,-13.0,1002.264,XS
8.0,-12.0,1002.164,XS
8.0,-11.0,1002.189,XS
8.0,-10.0,1002.066,XS
8.0,-9.0,1001.97,XS
8.0,-8.0,1001.923,XS
8.0,-7.0,1001.876,XS
8.0,-6.0,1001.785,XS
8.0,-5.0,1001.696,XS
